video_name,question_id,question,answer,type
1QIUV7WYKXg,v_1QIUV7WYKXg_3,is the athlete wearing trousers,no,3
9eniCub7u60,v_9eniCub7u60_2,does the girl in black clothes have long hair,yes,3
FADShG5lyB8,v_FADShG5lyB8_10,is the man wearing long sleeves,no,3
5k2Ot6-wOgc,v_5k2Ot6-wOgc_3,is the man in black outdoors,no,3
mV07bEBkIcM,v_mV07bEBkIcM_7,is the person in white a man,yes,3
X_K7Aa3Aa-E,v_X_K7Aa3Aa-E_3,is the person in white a man,no,3
X2toGKgWMpE,v_X2toGKgWMpE_2,is the person in white a man,yes,3
98ukqD62X5s,v_98ukqD62X5s_2,is the person in yellow clothes a man,yes,3
4LF0hL-mgks,v_4LF0hL-mgks_3,is the person first appears in the video outdoor,no,3
mUmSJps9WJI,v_mUmSJps9WJI_2,does the person in black have short hair,yes,3
12Nafz_Yet4,v_12Nafz_Yet4_2,does the person in black have short hair,yes,3
NvRH4SoF09c,v_NvRH4SoF09c_2,does the person in black have short hair,yes,3
nhQTxZlzG1Q,v_nhQTxZlzG1Q_3,does the person in black have short hair,no,3
A0b_pqaKCX8,v_A0b_pqaKCX8_3,does the person in black have short hair,no,3
CDecXoRSpIc,v_CDecXoRSpIc_3,does the person in black t-shirt have long hair,no,3
Znb6Y9m_PsQ,v_Znb6Y9m_PsQ_3,is the person in black t-shirt plaing outdoors,no,3
Znb6Y9m_PsQ,v_Znb6Y9m_PsQ_2,is the person in black t-shirt plaing outdoors,yes,3
26U3SkeZU6M,v_26U3SkeZU6M_2,does the person in blue have short hair,yes,3
vQ82ItCG1x4,v_vQ82ItCG1x4_2,does the person in blue have short hair,yes,3
-vY2uUmv6Dk,v_-vY2uUmv6Dk_3,does the person in green have long hair,no,3
Y_nyVFn70Lk,v_Y_nyVFn70Lk_2,does the person in green have short hair,yes,3
-vY2uUmv6Dk,v_-vY2uUmv6Dk_2,does the person in green have short hair,yes,3
OlR9S70AA74,v_OlR9S70AA74_2,does the person in green pants have short hair,yes,3
aNsj5OrEGLY,v_aNsj5OrEGLY_3,is the person in the video wearing long sleeves,no,3
a2IvS0xbNGQ,v_a2IvS0xbNGQ_3,does the person in orange clothes have long hair,no,3
gOnp3DZxeKU,v_gOnp3DZxeKU_8,does the person in purple have short hair,yes,3
nGKc2t-NMYc,v_nGKc2t-NMYc_3,does the person in purple have short hair,no,3
AguxVxEWEs0,v_AguxVxEWEs0_3,does the person in white clothes have long hair,no,3
nYl_tYmijlM,v_nYl_tYmijlM_3,does the person in white clothes have long hair,no,3
YMOYyt3kSOs,v_YMOYyt3kSOs_2,does the person in white clothes have long hair,yes,3
afMQA352X_A,v_afMQA352X_A_3,is the person wearing white trouser,no,3
AguxVxEWEs0,v_AguxVxEWEs0_2,is the person in white clothes a man,yes,3
vzUeFzhVYLg,v_vzUeFzhVYLg_2,does the person in white clothes have short hair,yes,3
N5Dt3ycaun4,v_N5Dt3ycaun4_2,does the person in white clothes have short hair,yes,3
30hcRe-5_3M,v_30hcRe-5_3M_2,does the person in white clothes have short hair,yes,3
W2Mh01F3K5c,v_W2Mh01F3K5c_3,is the person in white wearing long sleeves,no,3
A8RQcVFtovg,v_A8RQcVFtovg_3,is the person in white trouser a woman ,no,3
mxn6WcmdNpA,v_mxn6WcmdNpA_2,does the person in yellow clothes have long hair,yes,3
98ukqD62X5s,v_98ukqD62X5s_3,does the person in yellow clothes have long hair,no,3
mxn6WcmdNpA,v_mxn6WcmdNpA_3,does the person in yellow clothes have short hair,no,3
_jV5sAOOHLk,v__jV5sAOOHLk_7,does the person in white clothes have long hair,yes,3
_QBTD1bLSI0,v__QBTD1bLSI0_3,does the person in white clothes have long hair,no,3
_QBTD1bLSI0,v__QBTD1bLSI0_2,does the person in white clothes have short hair,yes,3
JR9LosQmMvg,v_JR9LosQmMvg_3,is the athlete indoors,no,3
Jix3poZOeZA,v_Jix3poZOeZA_3,is the athlete indoors,no,3
jEOtcfk220s,v_jEOtcfk220s_2,is the athlete in the video indoors,yes,3
4LpqPUWHH5k,v_4LpqPUWHH5k_2,is the athlete in the video indoors,yes,3
JH9qiuPCkY4,v_JH9qiuPCkY4_3,is the athlete in the video indoors,no,3
5UZ2ft8Y3sI,v_5UZ2ft8Y3sI_2,is the athlete in the video indoors,yes,3
5dN-MpXG9OE,v_5dN-MpXG9OE_2,is the athlete in the video indoors,yes,3
jibbgUBuuSA,v_jibbgUBuuSA_3,is the athlete in the video indoors,no,3
JR9LosQmMvg,v_JR9LosQmMvg_2,is the athlete outdoors,yes,3
s6fEIuHPJ4Y,v_s6fEIuHPJ4Y_2,is the athlete outdoors,yes,3
Jix3poZOeZA,v_Jix3poZOeZA_2,is the athlete outdoors,yes,3
sRNqK_QZbMs,v_sRNqK_QZbMs_2,is the athlete outdoors,yes,3
svNcNLEPKMc,v_svNcNLEPKMc_3,is the athlete outdoors,no,3
snhPrCNubYA,v_snhPrCNubYA_2,is the athlete outdoors,yes,3
sEcXR5b8HyY,v_sEcXR5b8HyY_3,is the athlete outdoors,no,3
St1RRi-aeNM,v_St1RRi-aeNM_2,is the athlete outdoors,yes,3
sPK-sbHIb3w,v_sPK-sbHIb3w_3,is the athlete outdoors,no,3
3Nd3Aai1bVA,v_3Nd3Aai1bVA_3,is the athlete playing indoors,no,3
nciIPwJTok8,v_nciIPwJTok8_2,is the person in blue clothes a man,yes,3
jbCQY7V7O1s,v_jbCQY7V7O1s_3,is the man in the video outdoors,no,3
5oyenoaVB-w,v_5oyenoaVB-w_2,is the man in the video outdoors,yes,3
mixxaL3Bdv8,v_mixxaL3Bdv8_2,is the person in orange clothes outdoors,yes,3
JB-ynj70saA,v_JB-ynj70saA_2,is the person in black pants indoors,yes,3
JB-ynj70saA,v_JB-ynj70saA_3,is the person in black pants outdoors,no,3
SJ7jk5XAjng,v_SJ7jk5XAjng_3,is the person in the game indoors,no,3
SJ7jk5XAjng,v_SJ7jk5XAjng_2,is the person in the game outdoors,yes,3
-crpjVnFv0U,v_-crpjVnFv0U_8,is the person in the video a chinese,no,3
